album,artist,title
"Glee: The Music, The Complete Season Three",Glee Cast,32
"Glee: The Music, The Complete Season Two",Glee Cast,30
Scorpion,Drake,25
More Life,Drake,22
Tha Carter V,Lil Wayne,21
Views,Drake,19
beerbongs & bentleys,Post Malone,18
Starboy,The Weeknd,18
Shoot For The Stars Aim For The Moon,Pop Smoke,17
Lover,Taylor Swift,17
ASTROWORLD,Travis Scott,17
"Glee: The Music, Volume 3 Showstoppers",Glee Cast,17
Eternal Atake,Lil Uzi Vert,16
"Glee: The Music, Volume 4",Glee Cast,16
Hollywood's Bleeding,Post Malone,16
folklore,Taylor Swift,16
Championships,Meek Mill,15
Legends Never Die,Juice WRLD,15
